,src,true_meaning
129,"""ऐ मेरे बेटे! नमाज़ का आयोजन कर और भलाई का हुक्म दे और बुराई से रोक और जो मुसीबत भी तुझपर पड़े उसपर धैर्य से काम ले। निस्संदेह ये उन कामों में से है जो अनिवार्य और ढृढसंकल्प के काम है","My son, be steadfast in prayer. Make others do good. Prevent them from doing evil. Be patient in hardship. Patience comes from faith and determination."
130,/ अच्छा है. वह सिर्फ भूखा था.,"Shut up, Alan."
131,हमने फ्यूरर के लिए प्रतिज्ञा ली है.,We made our pledge to the Führer.
132,मसौदा सहेजें (_S),_Save Draft
133,आकार,Size
134,सामान्य,General
135,हम हमारे तहखाने की तरफ जा रहे हैं.,We're on our way to the basement.
136,भीड़ से सराबोर समारोह स्थल तथा देश भर से आए हुए अंतिम दौर के प्रतिभागी व इसमें रुचि रखने वाले चिट्ठाकार इस बात के गवाह हैं.,"The packed out venue last night attests to this, as does the fact that finalists and interested parties flew in from around the country to be there."
137,और आप खुद के बारे में उन्हें गर्व करते हैं क्योंकि वे तुम्हें माफ.,And they forgive you because you make them proud of themselves.
138,ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।,These grapes are so sour that I can't eat them.
139,"- दो सूट ड्राई-क्लीन के लिए और जो-सो का एक बैग. - हां, महोदय.",Two suits for dry-clean and a bag of whatnot.
140,तुम मेरे लिए रक्षा चलाने वाला आदमी है जो कर रहे हैं?,In that old rust bucket of yours?
141,"निश्चय ही अल्लाह उन लोगों को जो ईमान लाए और उन्होंने अच्छे कर्म किए ऐसे बागों में दाख़िल करेगा जिनके नीचे नहरें बह रही होंगी। रहे वे लोग जिन्होंने इनकार किया, वे कुछ दिनों का सुख भोग रहे है और खा रहे है, जिसे चौपाए खाते है। और आग उनका ठिकाना है","God shall surely admit those who believe and do righteous deeds into gardens underneath which rivers flow. As for the unbelievers, they take their enjoyment and eat as cattle eat; and the Fire shall be their lodging."
142,क्या हुआ?,What's happened?
143,- (गोली),- ( gunshot )
144,मसौदा सहेजें (_S),_Save Draft
145,"हाँ, लेकिन अब आप समस्या हैं .","Yes, but now you are the problem."
146,raviratlami@ aol. in,Your emails
147,"कह दो, ""उनमें वही जाल डालेगा जिसने उनको पहली बार पैदा किया। वह तो प्रत्येक संसृति को भली-भाँति जानता है","(Muhammad), tell him, ""He who gave them life in the first place will bring them back to life again. He has the best knowledge of all creatures."
148,♪ मैं हमेशा पर आयोजित है ♪,♪ I've always held on to ♪
149,डिस्क संरूपित कर रहा है,Formatting disc
150,हैलो?,Hello?
151,हाँ.,Yeah.
152,- आप एक पाते हैं?,What happened when you attacked here?
153,पाठ,Text
154,"सौभाग्य से, मैं एक नरम लैंडिंग था.","Luckily, I had a soft landing."
155,आप क्या - क्या तुम यह क्या है जानते हो?,Do you--do you know what this is?
156,और हमने दाऊद को सुलैमान प्रदान किया। वह कितना अच्छा बन्दा था! निश्चय ही वह बहुत ही रुजू रहनेवाला था।,"And We gave to Dawood Sulaiman, most excellent the servant! Surely he was frequent in returning (to Allah)."
157,सौदा बंद करें.,Get the deal closed.
158,संपादन (_E),_Edit
159,"जयश्री गोविंदराजन, मुम्बई कुछ पारंपरिक रसोई के नुसखों को सभी से साझा कर रही हैं.","Jayashree Govindarajan, Mumbai shares some of the traditional recipes."
160,(ऐ मुशरेकीन मक्का) क्या तुम्हारे परवरदिगार ने तुम्हें चुन चुन कर बेटे दिए हैं और खुद बेटियाँ ली हैं (यानि) फरिश्ते इसमें शक़ नहीं कि बड़ी (सख्त) बात कहते हो,(Pagans) has your Lord given you preference over Himself by granting you sons and taking the angels as His own daughters? What you say is a monstrous utterance.
161,"युगल घंटे बाद, आप डबल क्रॉस के कुछ प्रकार में चल .","Couple hours later, you walk into some type of double cross."
162,"हरमन, ये इंसान हैं.","Hermann, these are human beings."
163,पुनर्भंडारण के लिए एवोल्यूशन फिर शुरू करें (_R),_Restart Evolution after restore
164,निहाल हो रहे हैं (जंगे ओहद में) जिन लोगों ने जख्म खाने के बाद भी ख़ुदा और रसूल का कहना माना उनमें से जिन लोगों ने नेकी और परहेज़गारी की (सब के लिये नहीं सिर्फ) उनके लिये बड़ा सवाब है,Those [believers] who responded to Allah and the Messenger after injury had struck them. For those who did good among them and feared Allah is a great reward -
165,क्या तुम्हें नहीं मालूम कि अल्लाह जानता है जो कुछ आकाश और धरती मैं हैं? निश्चय ही वह (लोगों का कर्म) एक किताब में अंकित है। निस्संदेह वह (फ़ैसला करना) अल्लाह के लिए अत्यन्त सरल है,Do you not know that Allah knows what is in the heaven and the earth? Surely this is in a book; surely this is easy to Allah.
166,"उनके पास अतीत को ऐसी खबरें आ चुकी है, जिनमें ताड़ना अर्थात पूर्णतः तत्वदर्शीता है।","And indeed the news which had a lot of deterrence, came to them."
167,हमने केवल एक बात कही.,We just made a point.
168,(ऐ रसूल) तुम उनसे कहो कि (बेबस) आओ जो चीज़ें ख़ुदा ने तुम पर हराम की हैं वह मैं तुम्हें पढ़ कर सुनाऊँ (वह) यह कि किसी चीज़ को ख़ुदा का शरीक़ न बनाओ और माँ बाप के साथ नेक सुलूक़ करो और मुफ़लिसी के ख़ौफ से अपनी औलाद को मार न डालना (क्योंकि) उनको और तुमको रिज़क देने वाले तो हम हैं और बदकारियों के क़रीब भी न जाओ ख्वाह (चाहे) वह ज़ाहिर हो या पोशीदा और किसी जान वाले को जिस के क़त्ल को ख़ुदा ने हराम किया है न मार डालना मगर (किसी) हक़ के ऐवज़ में वह बातें हैं जिनका ख़ुदा ने तुम्हें हुक्म दिया है ताकि तुम लोग समझो और यतीम के माल के करीब भी न जाओ,"Say, “Come, let me tell you what your Lord has forbidden you: that you associate nothing with Him; that you honor your parents; that you do not kill your children because of poverty—We provide for you and for them; that you do not come near indecencies, whether outward or inward; and that you do not kill the soul which God has sanctified—except in the course of justice. All this He has enjoined upon you, so that you may understand.”"
169,"तुमने कहा कि हम शादीशुदा हैं, मैनें कहा कि मैं 3 महीने की गर्भवती हूँ.","You told them that we're married, I told them I'm 3 months pregnant!"
170,भारतः रंगमंच का जादू,India: All about the Theatre! · Global Voices
171,ऑफ़लाइन मोड में फ़ोल्डर सदस्यता नहीं ले सकता.,Cannot subscribe folder in offline mode.
172,जब माला मिल जाये तो मुझे आशा है कि तुम उन्हें वापस कर दोगी.,When you find the beads I hope you'll return them.
173,देखें (_V),_View
174,कभी नहीं!,He'll no longer lead us.
175,(ऐ रसूल अहले किताब से कहो कि) आख़िर तुम हमसे इसके सिवा और क्या ऐब लगा सकते हो कि हम ख़ुदा पर और जो (किताब) हमारे पास भेजी गयी है और जो हमसे पहले भेजी गयी ईमान लाए हैं और ये तुममें के अक्सर बदकार हैं,"Say to them: 'People of the Book! Do you hate us for anything else except that we believe in Allah, and in the teaching which has been revealed to us and in the teaching which was revealed before? Indeed most of you are transgressors.'"
176,(ये सुन कर) इबराहीम ने कहा कि इस बस्ती में तो लूत भी है वह फरिश्ते बोले जो लोग इस बस्ती में हैं हम लोग उनसे खूब वाक़िफ़ हैं हम तो उनको और उनके लड़के बालों को यक़ीनी बचा लेंगे मगर उनकी बीबी को वह (अलबता) पीछे रह जाने वालों में होगीं,"He said: Surely in it is Lut. They said: We know well who is in it; we shall certainly deliver him and his followers, except his wife; she shall be of those who remain behind."
177,इसी तरह कई गाँव वाले मारे गए हैं,That's how many villagers died
178,raviratlami@ aol. in,Your emails
179,निकटस्थ साइट,Nearby Sites
180,"जिस दिन वह आएगा, तो उसकी अनुमति के बिना कोई व्यक्ति बात तक न कर सकेगा। फिर (मानवों में) कोई तो उनमें अभागा होगा और कोई भाग्यशाली","On the Day when it arrives, no soul will speak without His permission. Some will be miserable, and some will be happy."
181,"इसके लिए धन्‍यवाद, जैक.","Thanks for that, Jack."
182,सारा पाठ चुनें,Select all text
183,संकुचित संपर्क सूची,Compact contact list
184,और खुदा तो बेशक बड़ा वाक़िफकार बुर्दवार है यही (ठीक) है और जो शख्स (अपने दुश्मन को) उतना ही सताए जितना ये उसके हाथों से सताया गया था उसके बाद फिर (दोबारा दुशमन की तरफ़ से) उस पर ज्यादती की जाए तो खुदा उस मज़लूम की ज़रूर मदद करेगा,"So will it be; and whoever retaliates with the like of what he has been made to suffer, and is aggressed against [again] thereafter, Allah will surely help him. Indeed Allah is all-excusing, all-forgiving."
185,भगवान ने हमें आजादी दे दी है.,God has given us freedom.
186,- तुम देखो हम कितने व्यस्त हैं.,- You see how busy we are.
187,क्लिपबोर्ड में जमा फाइल जोड़ें,Add the files stored in the clipboard
188,वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Save the current file with a different name
189,%s में नए संदेश के लिये सारांश सूचना ला रहा है,Retrieving quota information for '%s'
190,"""... और अब हम दास नहीं हैं ...""","""...and we are slaves no longer..."""
191,चयनित संदेश की तरह सभी संदेश एक जगह अंतःसूत्रित करें,Select all messages in the same thread as the selected message
192,सब लोग हमें गुजर रहा है.,Everybody's passing us.
193,कुछ नहीं करें,Do Nothing
194,वहाँहममेंसेचार हैं लेकिन हम आप से डर रहे हैं,There are four of us but we are frightened of you.
195,"और दूसरे कुछ लोग है जिन्होंने अपने गुनाहों का इक़रार किया। उन्होंने मिले-जुले कर्म किए, कुछ अच्छे और कुछ बुरे। आशा है कि अल्लाह की कृपा-स्पष्ट उनपर हो। निस्संदेह अल्लाह अत्यन्त क्षमाशील, दयावान है","And (there are) others who have acknowledged their faults. They mixed a righteous action with another that was bad. It may be that Allah will relent toward them. Lo! Allah is Forgiving, Merciful."
196,दूसरे दिन बाहर की मदद करने के लिए धन्यवाद भी.,"Thanks for helping out the other day, too."
197,चयनित छवि भिन्न अनुप्रयोग से खोलें,Open the selected image with a different application
198,"लगता है कि आकाश स्वयं अपने ऊपर से फट पड़े। हाल यह है कि फ़रिश्ते अपने रब का गुणगान कर रहे, और उन लोगों के लिए जो धरती में है, क्षमा की प्रार्थना करते रहते है। सुन लो! निश्चय ही अल्लाह ही क्षमाशील, अत्यन्त दयावान है","The heavens are about to be rent apart from above them, while the angels celebrate the praise of their Lord and plead for forgiveness for those [faithful] who are on the earth. Indeed, Allah is the All-forgiving, the All-merciful!"
199,"न अन्धे के लिए कोई हरज है, न लँगडे के लिए कोई हरज है और न बीमार के लिए कोई हरज है। जो भी अल्लाह और उसके रसूल की आज्ञा का पालन करेगा, उसे वह ऐसे बाग़ों में दाख़िल करके, जिनके नीचे नहरे बह रही होगी, किन्तु जो मुँह फेरेगा उसे वह दुखद यातना देगा","There is no fault in the blind, or the lame, or the sick. He who obeys Allah and His Messenger He shall admit him to Gardens underneath which rivers flow; but he who turns away shall be punished with a painful punishment."
200,क्यों तुम मेरे साथ नहीं आया था.,Why didn't you come with me.
201,"हाँ, 7,000 लोग.","Yeah, 7,000 people."
202,राजा मैं.,King me. -Chess.
203,खोलें (_O),_Open
204,"वैसे भी, कला पर ले जाया गया, केरूपमेंयहचाहिए ,यहकरनेके लिएहै.","Anyway, art moved on, as it must, it has to."
205,आप पहले अनुभव है?,Do you have prior experience?
206,गबन भेजें.,Send the drone.
207,"आप अकेले रहना चाहते हैं, हम समझते हैं.","If you want to be alone, we understand."
208,"ऐ मेरे बन्दों, जो ईमान लाए हो! निस्संदेह मेरी धरती विशाल है। अतः तुम मेरी ही बन्दगी करो",O My bondmen who believe! Indeed My earth is spacious – therefore worship Me alone.
209,इस यथारूप प्रविष्टि की सभी सूचनाएँ मिट दी जाएँगी और फिर सहेजी नहीं जा सकेगी.,All information in this memo will be deleted and can not be restored.
210,बाद में ... दोबारा... मैं तुम्हारे लिए तोड़ दुंगा.,Later I will pluck for you twice.
211,"हे रोमियो, रोमियो, किस कला तू रोमियो?","O Romeo, Romeo, wherefore art thou Romeo?"
212,(ऐ रसूल) क्या तुम्हारे पास मूसा का किस्सा भी पहुँचा है,Hath there come Unto thee the story of Musa!
213,आप फिटिंग रसोई बारे में एक भाषण बना रहे हैं?,YOU'RE MAKING A SPEECH ABOUT FITTING KITCHENS?
214,ऐ ईमानदारों तुममें से जो कोई अपने दीन से फिर जाएगा तो (कुछ परवाह नहीं फिर जाए) अनक़रीब ही ख़ुदा ऐसे लोगों को ज़ाहिर कर देगा जिन्हें ख़ुदा दोस्त रखता होगा और वह उसको दोस्त रखते होंगे ईमानदारों के साथ नर्म और मुन्किर (और) काफ़िरों के साथ सख्त ख़ुदा की राह में जेहाद करेंगे और किसी मलामत करने वाले की मलामत की कुछ परवाह न करेंगे ये ख़ुदा का फ़ज़ल (व करम) है वह जिसे चाहता हे देता है और ख़ुदा तो बड़ी गुन्जाइश वाला वाक़िफ़कार है,"Believers! If any of you should ever turn away from your faith, remember that Allah will raise up a people whom He loves, and who love Him; a people humble towards the believers, and firm towards the unbelievers; who will strive hard in the way of Allah and will not fear the reproach of the reproacher. This is the favour of Allah which He grants to whom He wills. Allah is vast in resources, All-Knowing."
215,"फिर उनका कोई फ़िला (उपद्रव) शेष न रहेगा। सिवाय इसके कि वे कहेंगे, ""अपने रब अल्लाह की सौगन्ध! हम बहुदेववादी न थे।""","Then they will have no excuse but to say, ""By God our Lord, we have never been polytheists."""
216,"सिर्फ एक ही स्टॉप पार हुआ है, शायद कोई आ जाए.",There was just a stop. maybe someone's coming.
217,"अल्लाह ने तुम्हें मिट्टी से पैदा किया, फिर वीर्य से, फिर तुम्हें जोड़े-जोड़े बनाया। उसके ज्ञान के बिना न कोई स्त्री गर्भवती होती है और न जन्म देती है। और जो कोई आयु को प्राप्ति करनेवाला आयु को प्राप्त करता है और जो कुछ उसकी आयु में कमी होती है। अनिवार्यतः यह सब एक किताब में लिखा होता है। निश्चय ही यह सब अल्लाह के लिए अत्यन्त सरल है","Allah created you from dust, then from a drop of sperm, then He made you into pairs. No female conceives, nor delivers (a child) except with His knowledge. None is given a long life nor is any diminished in his life but it is written in a Book. Surely that is quite easy for Allah."
218,"तीन , दो, एक जाने के लिए,!",SEAN: Yeah.
219,क्वार्टरबैकवहगेंदकेसाथजारहा है जहांआप बताने वाला,Quarterback's gonna tell you where he's going with the ball.
220,किन्तु उन्होंने उसे झुठला दिया। फिर छायावाले दिन की यातना ने आ लिया। निश्चय ही वह एक बड़े दिन की यातना थी,"But they denied him, and We seized them with the torment of the Day of Shadowing (when the cloud had rained down fire). It was indeed the torment of a terrible day!"
221,निकाला नहीं गया,Extraction not performed
222,(लोगों) मोहम्मद तुम्हारे मर्दों में से (हक़ीक़तन) किसी के बाप नहीं हैं (फिर जैद की बीवी क्यों हराम होने लगी) बल्कि अल्लाह के रसूल और नबियों की मोहर (यानी ख़त्म करने वाले) हैं और खुदा तो हर चीज़ से खूब वाक़िफ है,"Muhammad is not the father of [any] one of your men, but [he is] the Messenger of Allah and last of the prophets. And ever is Allah, of all things, Knowing."
223,%s नियमित फाइल नहीं है,"The value ""%s"" is not part of the enum ""%s"""
224,.. हम मौसमी मौसम के ऊपर वास्तव में अच्छा कुछ सामना कर रहे हैं के रूप में,As we are experiencing some really nice above seasonal weather.
225,हम बल्लेबाजी के पिंजरे में मिल जाना चाहिए.,We should go get in a batting cage.
226,इस वेगास है.,This is Vegas.
227,तुम ध्यान रखना.,You're the one gonna need to take care.
228,यदि तुमने कुछ सेल्समैन के लिए गिग परफ़ॉर्म किया है...,"If you played a gig for striking double-glazing salesmen,"
229,"और समूद की ओर उनके भाई सालेह को भेजा। उसने कहा, ""ऐ मेरी क़ौम के लोगो! अल्लाह की बन्दगी करो। उसके अतिरिक्त तुम्हारा कोई पूज्य नहीं। तुम्हारे पास तुम्हारे रब की ओर से एक स्पष्ट प्रमाण आ चुका है। यह अल्लाह की ऊँटनी तुम्हारे लिए एक निशानी है। अतः इसे छोड़ दो कि अल्लाह की धरती में खाए। और तकलीफ़ पहुँचाने के लिए इसे हाथ न लगाना, अन्यथा तुम्हें एक दुखद यातना आ लेगी।-","And to (the tribe of) Thamud (We sent) their brother Salih. He said: O my people! Serve Allah. Ye have no other Allah save Him. A wonder from your Lord hath come unto you. Lo! this is the camel of Allah, a token unto you; so let her feed in Allah's earth, and touch her not with hurt lest painful torment seize you."
230,छवि (I) Image/ Selection Menu caption - make sure that translation has the same accel as the & Image translation,& Image
231,अगला पिछला संदेश,Next/Previous Message
232,फ़ोल्डर विलोपित नहीं कर सकता है: %s:कोई ऐसा फ़ोल्डर नहीं,Cannot delete folder: %s: No such folder
233,उसने अपने माथे से पसीना पोंछा।,He wiped the sweat from his forehead.
234,उसकी नेअमत का शुक्र अदा किया करो तुम पर उसने मुरदार और खून और सूअर का गोश्त और वह जानवर जिस पर (ज़बाह के वक्त) ख़ुदा के सिवा (किसी) और का नाम लिया जाए हराम किया है फिर जो शख़्श (मारे भूक के) मजबूर हो ख़ुदा से सरतापी (नाफरमानी) करने वाला हो और न (हद ज़रुरत से) बढ़ने वाला हो और (हराम खाए) तो बेशक ख़ुदा बख्शने वाला मेहरबान है,"He has forbidden you carrion, and blood, and the flesh of swine, and anything consecrated to other than God. But if anyone is compelled by necessity, without being deliberate or malicious, then God is Forgiving and Merciful."
235,रबातusa. kgm,Rabak
236,ऑनलाइन कार्य करें (_W),_Work Online
237,हैइसआदमीकोस्वच्छ,Is this guy clean?
238,"मैंने दर्ज किया कमांड कुंजी , अपने अधिकार पलट है इस जहाज को अपने नियंत्रण में अब है.","The command key I have entered is revoking your authority, this ship is now under my control."
239,मैं उन्हें कुछ बताना होगा.,I gotta tell 'em something.
240,अपरिचित डेस्कटॉप फ़ाइल संस्करण '%s',Unrecognized desktop file Version '%s'
241,- 19 साल ...,- 19 years...
242,मैं सिर्फ वेगास में रह सकता है.,I might just stay in Vegas.
243,उन्होंने मुझे बताया था कि नाजियों के साथ शामिल मत होना.,They told me not to get involved with the Nazis.
244,ऐ ईमानदारों अगर तुम्हारे माँ बाप और तुम्हारे (बहन) भाई ईमान के मुक़ाबले कुफ़्र को तरजीह देते हो तो तुम उनको (अपना) ख़ैर ख्वाह (हमदर्द) न समझो और तुममें जो शख़्स उनसे उलफ़त रखेगा तो यही लोग ज़ालिम है,"O you who have believed, do not take your fathers or your brothers as allies if they have preferred disbelief over belief. And whoever does so among you - then it is those who are the wrongdoers."
245,"मुझे पता है, लेकिन आप इस गर्मी में 19 हो जाएगा... ... और लड़कियों को पहले से ही आप उन्हें पसंद नहीं है.","L know, but you will be 19 this summer and the girls already say you don't like them."
246,आसानी से दो दर्जन से अधिक वयस्कों सोता है.,Easily sleeps two dozen adults.
247,(बिखरेहंसी),(SCATTERED LAUGHTER)
248,उसे हाथ की हड्डियाँ तोड़ने में मज़ा आता है,She likes cracking bones.
249,मैं एक कप चाय लूंगी.,I would love a cup of tea.
